,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
944,TUSDT,FLRUSDT,0.02,-3.6,-3.37,1.05,52
1278,YFIUSDT,FLRUSDT,0.0,-6.27,-3.37,261336.75,49
492,QTUMUSDT,FLRUSDT,0.04,-3.4,-3.37,95.19,48
440,QNTUSDT,FLRUSDT,0.0,-5.9,-3.37,3429.93,48
738,STMXUSDT,STORJUSDT,0.0,-4.18,-3.37,0.01,47
1346,ZECUSDT,LPTUSDT,0.01,-3.9,-3.37,6.47,45
835,SUSHIUSDT,FLRUSDT,0.02,-3.75,-3.37,33.88,44
943,TUSDT,CEEKUSDT,0.0,-4.84,-3.37,0.41,43
1322,ZECUSDT,1INCHUSDT,0.0,-4.98,-3.37,74.74,43
794,SUNUSDT,JSTUSDT,0.02,-3.66,-3.37,0.22,42
1183,XMRUSDT,JSTUSDT,0.0,-4.61,-3.37,5823.59,42
1266,YFIUSDT,APEUSDT,0.01,-3.87,-3.37,2028.72,42
824,SUSHIUSDT,CEEKUSDT,0.01,-4.01,-3.37,13.36,41
1116,XEMUSDT,HBARUSDT,0.04,-3.43,-3.37,0.62,41
364,PEOPLEUSDT,ETHWUSDT,0.02,-3.61,-3.37,0.01,41
1330,ZECUSDT,CELOUSDT,0.01,-3.86,-3.37,59.51,41
1247,XTZUSDT,FLOWUSDT,0.02,-3.7,-3.37,1.1,41
1008,VETUSDT,API3USDT,0.0,-5.23,-3.37,0.02,41
746,STORJUSDT,FLRUSDT,0.0,-4.41,-3.37,11.57,40
1113,XEMUSDT,FLRUSDT,0.0,-4.5,-3.37,1.2,40
1338,ZECUSDT,GLMRUSDT,0.05,-3.37,-3.37,105.21,39
1336,ZECUSDT,FLOWUSDT,0.0,-5.38,-3.37,40.27,39
1130,XLMUSDT,BATUSDT,0.01,-3.87,-3.37,0.37,39
1120,XEMUSDT,KNCUSDT,0.02,-3.68,-3.37,0.05,39
675,SLPUSDT,REQUSDT,0.0,-4.64,-3.37,0.03,39
360,PEOPLEUSDT,CRVUSDT,0.04,-3.46,-3.37,0.02,39
1138,XLMUSDT,FLRUSDT,0.0,-5.48,-3.37,3.03,38
600,SFPUSDT,COMPUSDT,0.0,-5.06,-3.37,0.01,38
970,UNIUSDT,BTCUSDT,0.0,-4.17,-3.37,0.0,38
569,SANDUSDT,COMPUSDT,0.01,-3.91,-3.37,0.02,38
1082,WOOUSDT,HIGHUSDT,0.01,-3.93,-3.37,0.13,37
1275,YFIUSDT,ETCUSDT,0.03,-3.48,-3.37,413.63,37
971,UNIUSDT,CEEKUSDT,0.0,-5.02,-3.37,70.9,37
1319,YGGUSDT,TRBUSDT,0.01,-3.95,-3.37,0.02,37
1013,VETUSDT,CEEKUSDT,0.0,-4.82,-3.37,0.29,37
1011,VETUSDT,BOBAUSDT,0.01,-4.08,-3.37,0.11,37
814,SUSHIUSDT,ANKRUSDT,0.03,-3.5,-3.37,32.44,36
1015,VETUSDT,ENJUSDT,0.03,-3.49,-3.37,0.06,36
1354,ZENUSDT,ACHUSDT,0.0,-4.29,-3.37,285.42,36
505,RENUSDT,CKBUSDT,0.05,-3.37,-3.37,24.11,36
729,STMXUSDT,FLRUSDT,0.0,-4.52,-3.37,0.17,36
1216,XNOUSDT,MKRUSDT,0.0,-4.31,-3.37,0.0,36
1295,YFIUSDT,XLMUSDT,0.0,-5.11,-3.37,86287.8,35
1005,VETUSDT,ACHUSDT,0.0,-4.16,-3.37,0.66,35
1351,ZECUSDT,NKNUSDT,0.04,-3.4,-3.37,335.49,35
1373,ZENUSDT,ILVUSDT,0.0,-4.24,-3.37,0.18,35
598,SFPUSDT,CELOUSDT,0.02,-3.67,-3.37,0.71,35
993,UNIUSDT,OCEANUSDT,0.04,-3.4,-3.37,14.85,34
834,SUSHIUSDT,FLOWUSDT,0.02,-3.62,-3.37,1.14,34
1207,XNOUSDT,DENTUSDT,0.02,-3.69,-3.37,790.29,34
178,OPUSDT,CEEKUSDT,0.0,-5.12,-3.37,30.17,34
515,RENUSDT,WOOUSDT,0.01,-3.88,-3.37,0.36,34
722,STMXUSDT,BATUSDT,0.01,-3.91,-3.37,0.02,34
362,PEOPLEUSDT,EOSUSDT,0.03,-3.54,-3.37,0.02,34
1210,XNOUSDT,ENSUSDT,0.03,-3.48,-3.37,0.07,34
978,UNIUSDT,FLRUSDT,0.0,-4.31,-3.37,179.8,34
1139,XLMUSDT,HBARUSDT,0.04,-3.45,-3.37,1.56,33
631,SHIB1000USDT,BSWUSDT,0.0,-4.19,-3.37,0.06,33
1291,YFIUSDT,STMXUSDT,0.01,-3.97,-3.37,1507260.62,33
568,SANDUSDT,CEEKUSDT,0.01,-3.97,-3.37,7.73,33
628,SHIB1000USDT,BITUSDT,0.0,-4.25,-3.37,0.02,33
604,SFPUSDT,ENJUSDT,0.0,-5.13,-3.37,1.13,33
564,SANDUSDT,ARBUSDT,0.01,-3.81,-3.37,0.42,33
1105,XEMUSDT,ARBUSDT,0.03,-3.51,-3.37,0.03,33
1302,YGGUSDT,BANDUSDT,0.03,-3.55,-3.37,0.14,33
712,STGUSDT,CELUSDT,0.03,-3.49,-3.37,2.55,33
1298,YGGUSDT,1000FLOKIUSDT,0.01,-3.83,-3.37,7.83,33
630,SHIB1000USDT,BOBAUSDT,0.0,-5.78,-3.37,0.05,33
1318,YGGUSDT,TLMUSDT,0.0,-4.2,-3.37,12.75,33
963,UNIUSDT,API3USDT,0.01,-3.78,-3.37,3.72,33
975,UNIUSDT,ETHUSDT,0.0,-4.86,-3.37,0.0,33
917,TRUUSDT,CELOUSDT,0.03,-3.57,-3.37,0.11,32
900,TRBUSDT,ILVUSDT,0.01,-3.91,-3.37,0.25,32
933,TRUUSDT,MAGICUSDT,0.0,-4.38,-3.37,0.05,32
1049,WOOUSDT,BLZUSDT,0.02,-3.65,-3.37,3.41,32
1214,XNOUSDT,LRCUSDT,0.0,-4.5,-3.37,2.34,32
452,QNTUSDT,IOSTUSDT,0.0,-5.08,-3.37,10171.96,32
1320,YGGUSDT,WOOUSDT,0.03,-3.48,-3.37,0.93,32
1078,WOOUSDT,GRTUSDT,0.01,-4.05,-3.37,1.87,32
1017,VETUSDT,FLRUSDT,0.04,-3.4,-3.37,0.74,32
1081,WOOUSDT,HFTUSDT,0.02,-3.63,-3.37,0.44,32
1353,ZENUSDT,AAVEUSDT,0.01,-4.1,-3.37,0.14,32
546,RSRUSDT,KAVAUSDT,0.03,-3.55,-3.37,0.0,32
1197,XNOUSDT,ATOMUSDT,0.0,-4.16,-3.37,0.07,32
1202,XNOUSDT,BSWUSDT,0.0,-4.3,-3.37,4.84,31
1256,XTZUSDT,LPTUSDT,0.02,-3.68,-3.37,0.18,31
322,PAXGUSDT,JOEUSDT,0.0,-5.14,-3.37,3168.72,31
942,TUSDT,BSWUSDT,0.01,-3.8,-3.37,0.19,31
